scenario,priority_type,priority_growth_rate,capacity,vaccination,max,capacity_ratio,tracing_delay,vaccinated,priority,samples_isol_swab,samples_test_turnaround_time,samples_time_to_interview
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,4,TRUE,FALSE,0,1,3
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,4,TRUE,FALSE,3,1,0
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,4,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,6,TRUE,TRUE,2,1,3
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,1,TRUE,TRUE,0,1,0
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,5,TRUE,FALSE,3,1,1
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,3,TRUE,TRUE,0,0,3
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,3,TRUE,TRUE,2,0,1
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,5,TRUE,FALSE,0,1,4
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,3,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,3,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,3,TRUE,TRUE,1,2,0
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,3,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,4,TRUE,FALSE,0,1,3
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,5,TRUE,FALSE,0,1,4
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,7,TRUE,FALSE,0,2,5
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,5,TRUE,FALSE,2,1,2
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,5,TRUE,FALSE,2,1,2
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,2,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,2,TRUE,FALSE,1,1,0
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,4,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,3,3,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,3,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,3,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,8,TRUE,FALSE,2,2,4
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,3,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,3,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,9,TRUE,FALSE,2,2,5
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,8,TRUE,FALSE,1,4,3
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,2,TRUE,FALSE,0,0,2
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,3,TRUE,FALSE,2,1,0
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,0,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,3,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,0,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,2,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,4,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,7,TRUE,FALSE,0,2,5
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,6,TRUE,TRUE,2,1,3
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,3,TRUE,FALSE,1,1,1
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,2,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,1,TRUE,TRUE,0,0,1
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,FALSE,0,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,Inf,TRUE,TRUE,1,1,Inf
optimal_random_delay_poisson1_capacity20pc_max_5d_casesvaccinated45pc,random,delay_poisson1,capacity20pc,casesvaccinated45pc,max_5d,0.2,3,TRUE,FALSE,1,2,0
